perturbation_context,baseline_candidate_id,category_id,perturbed_parameter,perturbation_factor,experimental_contrast,feature,simulated_direction,experimental_direction,experimental_target_scope,direction_match_status,regional_experimental_direction,regional_target_scope,regional_match_status,regional_match_interpretation
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,1.25,CONTROL_to_MFA,rise_slope_mV_per_s,no_change,decrease,region_blind,simulation_no_change,decrease,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,1.25,CONTROL_to_MFA,rise_tau_s,no_change,increase,region_blind,simulation_no_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,1.25,CONTROL_to_MFA,decay_slope_mV_per_s,no_change,decrease,region_blind,simulation_no_change,decrease,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,1.25,CONTROL_to_MFA,decay_tau_s,no_change,increase,region_blind,simulation_no_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,1.25,CONTROL_to_MFA,return_slope_mV_per_s,no_change,no_clear_change,region_blind,no_clear_experimental_change,no_clear_change,delta_of_delta_DH_minus_VH,no_clear_experimental_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,1.25,CONTROL_to_MFA,stim_end_depolarization_mV,no_change,no_clear_change,region_blind,no_clear_experimental_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,1.25,CONTROL_to_MFA,peak_depolarization_mV,no_change,no_clear_change,region_blind,no_clear_experimental_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,1.25,CONTROL_to_MFA,undershoot_magnitude_mV,no_change,no_clear_change,region_blind,no_clear_experimental_change,no_clear_change,delta_of_delta_DH_minus_VH,no_clear_experimental_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,1.5,CONTROL_to_MFA,rise_slope_mV_per_s,no_change,decrease,region_blind,simulation_no_change,decrease,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,1.5,CONTROL_to_MFA,rise_tau_s,no_change,increase,region_blind,simulation_no_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,1.5,CONTROL_to_MFA,decay_slope_mV_per_s,no_change,decrease,region_blind,simulation_no_change,decrease,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,1.5,CONTROL_to_MFA,decay_tau_s,no_change,increase,region_blind,simulation_no_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,1.5,CONTROL_to_MFA,return_slope_mV_per_s,no_change,no_clear_change,region_blind,no_clear_experimental_change,no_clear_change,delta_of_delta_DH_minus_VH,no_clear_experimental_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,1.5,CONTROL_to_MFA,stim_end_depolarization_mV,no_change,no_clear_change,region_blind,no_clear_experimental_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,1.5,CONTROL_to_MFA,peak_depolarization_mV,no_change,no_clear_change,region_blind,no_clear_experimental_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,1.5,CONTROL_to_MFA,undershoot_magnitude_mV,no_change,no_clear_change,region_blind,no_clear_experimental_change,no_clear_change,delta_of_delta_DH_minus_VH,no_clear_experimental_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,2.0,CONTROL_to_MFA,rise_slope_mV_per_s,no_change,decrease,region_blind,simulation_no_change,decrease,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,2.0,CONTROL_to_MFA,rise_tau_s,no_change,increase,region_blind,simulation_no_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,2.0,CONTROL_to_MFA,decay_slope_mV_per_s,no_change,decrease,region_blind,simulation_no_change,decrease,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,2.0,CONTROL_to_MFA,decay_tau_s,no_change,increase,region_blind,simulation_no_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,2.0,CONTROL_to_MFA,return_slope_mV_per_s,no_change,no_clear_change,region_blind,no_clear_experimental_change,no_clear_change,delta_of_delta_DH_minus_VH,no_clear_experimental_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,2.0,CONTROL_to_MFA,stim_end_depolarization_mV,no_change,no_clear_change,region_blind,no_clear_experimental_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,2.0,CONTROL_to_MFA,peak_depolarization_mV,no_change,no_clear_change,region_blind,no_clear_experimental_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gamma_s_eff,2.0,CONTROL_to_MFA,undershoot_magnitude_mV,no_change,no_clear_change,region_blind,no_clear_experimental_change,no_clear_change,delta_of_delta_DH_minus_VH,no_clear_experimental_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,0.5,CONTROL_to_MFA,rise_slope_mV_per_s,no_change,decrease,region_blind,simulation_no_change,decrease,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,0.5,CONTROL_to_MFA,rise_tau_s,no_change,increase,region_blind,simulation_no_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,0.5,CONTROL_to_MFA,decay_slope_mV_per_s,no_change,decrease,region_blind,simulation_no_change,decrease,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,0.5,CONTROL_to_MFA,decay_tau_s,no_change,increase,region_blind,simulation_no_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,0.5,CONTROL_to_MFA,return_slope_mV_per_s,no_change,no_clear_change,region_blind,no_clear_experimental_change,no_clear_change,delta_of_delta_DH_minus_VH,no_clear_experimental_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,0.5,CONTROL_to_MFA,stim_end_depolarization_mV,no_change,no_clear_change,region_blind,no_clear_experimental_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,0.5,CONTROL_to_MFA,peak_depolarization_mV,no_change,no_clear_change,region_blind,no_clear_experimental_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,0.5,CONTROL_to_MFA,undershoot_magnitude_mV,no_change,no_clear_change,region_blind,no_clear_experimental_change,no_clear_change,delta_of_delta_DH_minus_VH,no_clear_experimental_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,0.75,CONTROL_to_MFA,rise_slope_mV_per_s,no_change,decrease,region_blind,simulation_no_change,decrease,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,0.75,CONTROL_to_MFA,rise_tau_s,no_change,increase,region_blind,simulation_no_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,0.75,CONTROL_to_MFA,decay_slope_mV_per_s,no_change,decrease,region_blind,simulation_no_change,decrease,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,0.75,CONTROL_to_MFA,decay_tau_s,no_change,increase,region_blind,simulation_no_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,0.75,CONTROL_to_MFA,return_slope_mV_per_s,no_change,no_clear_change,region_blind,no_clear_experimental_change,no_clear_change,delta_of_delta_DH_minus_VH,no_clear_experimental_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,0.75,CONTROL_to_MFA,stim_end_depolarization_mV,no_change,no_clear_change,region_blind,no_clear_experimental_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,0.75,CONTROL_to_MFA,peak_depolarization_mV,no_change,no_clear_change,region_blind,no_clear_experimental_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,0.75,CONTROL_to_MFA,undershoot_magnitude_mV,no_change,no_clear_change,region_blind,no_clear_experimental_change,no_clear_change,delta_of_delta_DH_minus_VH,no_clear_experimental_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,1.0,CONTROL_to_MFA,rise_slope_mV_per_s,no_change,decrease,region_blind,simulation_no_change,decrease,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,1.0,CONTROL_to_MFA,rise_tau_s,no_change,increase,region_blind,simulation_no_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,1.0,CONTROL_to_MFA,decay_slope_mV_per_s,no_change,decrease,region_blind,simulation_no_change,decrease,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,1.0,CONTROL_to_MFA,decay_tau_s,no_change,increase,region_blind,simulation_no_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,1.0,CONTROL_to_MFA,return_slope_mV_per_s,no_change,no_clear_change,region_blind,no_clear_experimental_change,no_clear_change,delta_of_delta_DH_minus_VH,no_clear_experimental_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,1.0,CONTROL_to_MFA,stim_end_depolarization_mV,no_change,no_clear_change,region_blind,no_clear_experimental_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,1.0,CONTROL_to_MFA,peak_depolarization_mV,no_change,no_clear_change,region_blind,no_clear_experimental_change,increase,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,1.0,CONTROL_to_MFA,undershoot_magnitude_mV,no_change,no_clear_change,region_blind,no_clear_experimental_change,no_clear_change,delta_of_delta_DH_minus_VH,no_clear_experimental_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
MFA_like_from_control_legacy,CONTROL_50nA.db::trial_2067,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,zth,1.25,CONTROL_to_MFA,rise_slope_mV_per_s,no_change,decrease,region_blind,simulation_no_change,decrease,delta_of_delta_DH_minus_VH,simulation_no_change,legacy_category_direction_compared_to_DH_minus_VH_delta_target_not_region_assigned
